Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Janani Shishu Suraksha Karyakram,ministry of health  family welfare,individual,1. the applicant must be a pregnant woman. 1. the applicant must be admitted in a government health facility.,a scheme by ministry of mohfw for pregnant women who access government health facilities for their delivery. to absolutely free and no expense delivery including caesarean section. essential care is provided to the mother and her neonate within 48 hours. for pregnant women 1. free and cashless delivery 1. free csection 1. free drugs and consumables 1. free diagnostics 1. free diet during stay in the health institutions 1. free provision of blood 1. exemption from user charges 1. free transport from home to health institutions 1. free transport between facilities in case of referral 1. free drop back from institutions to home after 48hrs stay for sick newborns till 30 days after birth now been expanded to also cover sick infants  1. free treatment 1. free drugs and consumables 1. free diagnostics 1. free provision of blood 1. exemption from user charges 1. free transport from home to health institutions 1. free transport between facilities in case of referral 1. free drop back from institutions to home,the pregnant woman is referred by the competent staff of the public health facility for jssk.,"Free Diet, Medicine, Newborn, Pregnant, Woman"
Galvanizing Organic Bio-Agro Resources Dhan (GOBARdhan),ministry of jal shakti,na,1. for individual household model individual households identified by the gram panchayats.1. for cluster model cluster of households identified by the gram panchayats in association with cooperatives milk unions farmer producer organizations fpos shgs cbos developed under daynrlm private entrepreneurs etc. these households should have a minimum of 3 to 4 cattle.1. for community model households identified by the gram panchayats.1. for commercial model entrepreneurscooperativesgaushalasdairies etc. are eligible to setup large biogascompressed biogas cbg plants1. villages with a high population of cattle should be taken on priority.,gobardhan scheme was launched in april 2018 as a part of the solid and liquid waste management component under swachh bharat mission grameen to positively impact village cleanliness and generate wealth and energy from cattle and organic waste. the main focus of gobardhan is to keep villages clean. 1. helps in managing a major portion of solid waste in villages i.e cattle dung and agricultural waste and promotes environmental sanitation. 1. substantially reduces vectorborne diseases and promotes public health. 1. promotes household income and saving as the use of biogas reduces the expenditure on lpg. 1. helps in generating organic manure which enhances agriculture and farm productivity. 1. promotes employment and income generation opportunities for shgsfarmers groups. 1. helps in reducing greenhouse gas emissions and promotes environmental sustainability. 1. helps to save foreign exchange by reducing the need for the import of natural gas., the gram panchayat will identify the beneficiaries with the support of shgsfposmilk cooperativesmilk unions private entrepreneurscbos developed under daynrlmagencies selected or empanelled by statesdistrictsbdtcs etc.  the project plan document will be prepared with the support of identifiedempanelled agencies bdtcs etc. masonsbarefoot techniciansengineers who would construct the biogas plants will be identified.  approval for administrative and technical proposals will be sought from competent authorities. om plan should also be part of the project proposal.,"Agriculture, Renewable Energy, Solid Waste Management"
National Pension Scheme For Traders And Self Employed Persons,ministry of labour and employment,individual,1. the applicant can be a selfemployed shop owner or a retail owner or a vyapari. 1. the age of the applicant should be between 18 to 40 years 1. the annual turnover of the business should not exceed 15000000.,a voluntary and contributory pension scheme by the ministry of labour and employment. this scheme is meant for old age protection and social security of small scale traders and retailers. the beneficiary would receive a minimum assured pension of 3000 per month after attaining the age of 60 yrs.  benefits to the family on the death of an eligible beneficiary 1. during the receipt of a pension if an eligible beneficiary dies his spouse shall be only entitled to receive fifty percent of the pension received by such eligible beneficiary as a family pension and such family pension shall be applicable only to the spouse.  benefits on disablement 1. if an eligible beneficiary has given regular contributions and become permanently disabled due to any cause before attaining his age of 60 years and is unable to continue to contribute under this scheme his spouse shall be entitled to continue with the scheme subsequently by payment of regular contribution as applicable or exit the scheme by receiving the share of contribution deposited by the such beneficiary with interest as actually earned thereon by the pension fund or the interest at the savings bank interest rate thereon whichever is higher.  benefits on leaving the pension scheme 1. in case an eligible beneficiary exits this scheme within a period of less than ten years from the date of joining the scheme by him then the share of contribution by him only will be returned to him with savings bank rate of interest payable thereon. 1. if an eligible beneficiary exits after completion of a period of ten years or more from the date of joining the scheme by him but before his age of sixty years then his share of contribution only shall be returned to him along with accumulated interest thereon as actually earned by the pension fund or the interest at the savings bank interest rate thereon whichever is higher. 1. if an eligible beneficiary has given regular contributions and died due to any cause his spouse shall be entitled to continue with the scheme subsequently by payment of regular contribution as applicable or exit by receiving the share of contribution paid by such beneficiary along with accumulated interest as actually earned thereon by the pension fund or at the savings bank interest rate thereon whichever is higher 1. after the death of the beneficiary and his or her spouse the corpus shall be credited back to the fund., the interested eligible person shall visit the nearest csc center.  following are the prerequisites for the enrollment process aadhaar card savingsjan dhan bank account details along with ifsc code  bank passbook or cheque leavebook or copy of bank statement as evidence of bank account   an initial contribution amount in cash will be made to the village level entrepreneur vle.  the vle will key in the aadhaar number name of the beneficiary and date of birth as printed on the aadhaar card for authentication.  the vle will complete the online registration by filling up the details like bank account details mobile number email address gstin annual turnover income spouse if any and nominee details.  selfcertification for eligibility conditions will be done.  the system will auto calculate the monthly contribution payable according to the age of the beneficiary. the beneficiary will pay the 1st subscription amount in cash to the vle.  enrollment cum auto debit mandate form will be printed and will be further signed by the beneficiary. vle will scan the same and upload it into the system.  a unique vyapari pension account number vpan will be generated and vyapari card will be printed.,"Employment, Pension, Self Employment, Traders"
"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",agriculture department puducherry,individual, the applicant should be a residentnative of puducherry.  the applicant should be residing in the yanam region.  the applicant should be a farmer.  the applicant should possess land holdings.,back ended investment subsidy to paddy growers component of the crop production technology scheme was introduced by the dept of agriculture and farmers welfare ut of puducherry. the paddy farmers residing in the yanam region are provided a backended investment subsidy at 4000 per hectare. backended investment subsidy to paddy growers  4000 per hectare., the interested applicant should visit during office hours one of the offices given below and request the hard copy of the prescribed format of the application form from the concerned authority.  agricultural officers of the uzhavar udhaviyagam. office of the deputy director of agriculture yanam.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form and the documents to the concerned authority.  on receipt of the application necessary entries will be made in the application receipt  and a unique number is assigned to the applicant for identifying each applicant which shall be used for all further references and also as acknowledgement for the receipt of the application.,"Agriculture, Farmer, Financial Assistance, Paddy, Subsidy"
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Assistance of Interest Subsidy,industries and mines department,business entity industries,1. the mega industry must operate as a manufacturing unit. 1. the unit must have a minimum investment of inr 2500 crore in plant and machinery. 1. the unit must provide direct employment to at least 2500 persons. 1. the unit must belong to one of the thrust sectors as defined in the guidelines refer page no. 9. 1. new industrial units or expansion projects are eligible. 1. units must avail of term loans for fixed capital investment from recognized financial institutions. 1. the unit must bear at least 2 interest on term loans even if availing of other subsidies. 1. units must ensure regular repayment of loan installments.,the aatmanirbhar gujarat scheme for assistance to mega industries aims to strengthen the overall industrial ecosystem in the state and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them futureready to compete in global markets.  substantial interest reduction  interest subsidy 7 on the term loan.  capped amount a maximum of 1.2 of eligible fixed capital investment per annum for 10 years., registration process step1 visit the investor facilitation portal ifp portal. click on new investor registration to access the registration form. step2 fill in the registration form. click on submit. step3 verify the email id using the link sent on your ed email id. step4 after verification you will be ed successfully.  postregistration process step1 visit the investor facilitation portal ifp portal. click on . step2 enter the email address and password you used during registration. step3 click the  button to access your account. step4 now fill in the required details and mandatory documents about your business to complete the application process.  helpdesk contact us.,"Business, Entrepreneurship, Interest Subsidy, Mega Industries, Thrust Manufacturing Sector"
PVTGs Dakia Yojana (Chief Minister's Food Security Scheme),food public distribution and consumer affairs department,individual family,1. the applicant must belong to particularly vulnerable tribal groups pvtgs. 1. the applicants family must be enrolled under the antyodaya yojana. 1. the family should reside in designated pvtg areas or remote locations.,the pvtgs dakia yojana chief ministers food security scheme by the welfare department government of jharkhand. the scheme aims to ensure food security for particularly vulnerable tribal groups pvtgs. it provides subsidized food grains to enhance their living conditions. food security for ptg families  free provision of 35 kg of wheat and rice per family per month at 1 per kg. direct villagelevel distribution  food grains are distributed at the village level by block welfare officers. support for national food security  complements the antyodaya yojana by including all pvtg families in jharkhand., to avail the benefits of the scheme the eligible applicant may visit the nearest block welfare office with all the relevant documents.,"Doorstep Delivery, Food, PVTG"
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,industries and mines department,business entity industries,1. the mega industry must operate as a manufacturing unit. 1. the unit must have a minimum investment of inr 2500 crore in plant and machinery. 1. the unit must provide direct employment to at least 2500 persons. 1. the unit must belong to one of the thrust sectors as defined in the guidelines refer page no. 9. 1. the unit must obtain separate gst registration for the eligible products. 1. the project must be a new industrial undertaking with commercial production started within the applicable period. 1. the unit must comply with the conditions stated regarding sales classifications and documentation.,the aatmanirbhar gujarat scheme for assistance to mega industries aims to strengthen the overall industrial ecosystem in the state and also enable a larger set of manufacturing companies to emulate the adoption of clean energy and make them futureready to compete in global markets.  reimbursement eligible units will be reimbursed the full net sgst paid. maximum limit reimbursement is capped at 0.9 of the efcl value per annum. longterm support the scheme offers reimbursement for a period of 20 years starting from the commencement of commercial production., registration process step1 visit the investor facilitation portal ifp portal. click on new investor registration to access the registration form. step2 fill in the registration form. click on submit. step3 verify the email id using the link sent on your ed email id. step4 after verification you will be ed successfully.  postregistration process step1 visit the investor facilitation portal ifp portal. click on . step2 enter the email address and password you used during registration. step3 click the  button to access your account. step4 now fill in the required details and mandatory documents about your business to complete the application process.  helpdesk contact us.,"Business, Entrepreneurship, Mega Industries, SGST, Thrust Manufacturing Sector"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Reimbursement of CGTMSE Fees,industries and mines department,business entity industries,1. the scheme is open to micro and small enterprises mses that have availed a collateralfree term loan under the credit guarantee scheme of cgtmse. 1. the mse must apply to the concerned district industries centre dic within one year from the first disbursement of the loan or before the date of commencement of commercial production whichever is later. 1. the enterprise must have paid the annual service fee for the cgtmsebacked loan.,the aatmanirbhar gujarat scheme for assistance to msmes aims to empower the states dynamic msme sector which significantly contributes to employment gdp and exports.  reimbursement of fees 100 reimbursement of the annual service fees paid to banks or financial institutions for collateralfree loans under cgtmse for a period of 5 years.  annual service fees 1st year1.8  risk premium 2nd year onwards0.85or as amended by cgtmse credit guarantee fund trust for micro and small enterprise trustrbi from time to time., registration process step1 visit the investor facilitation portal ifp portal. click on new investor registration to access the registration form. step2 fill in the registration form. click on submit. step3 verify the email id using the link sent on your ed email id. step4 after verification you will be ed successfully.  postregistration process step1 visit the investor facilitation portal ifp portal. click on . step2 enter the email address and password you used during registration. step3 click the  button to access your account. step4 now fill in the required details and mandatory documents about your business to complete the application process.  helpdesk contact here,"Business, CGTMSE, Credit Guarantee Fund Trust, Entrepreneurship, MSMEs"
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,women and child development department,individual,1. the applicant must be a resident of gujarat. 1. the applicant must be aged between 18 to 50 years. 1. the applicant must be a beneficiary of the ganga swarup economic assistance scheme.,the scheme supports remarried women who are beneficiaries of the ganga swarupa pension scheme aiming to reintegrate them into society with financial support.  assistance through direct bank transfer dbt 25000 will be credited directly to the beneficiarys savings account through direct bank transfer dbt.  assistance for national savings certificates 25000 will be issued to the beneficiary in the form of national savings certificates nsc providing a secure and longterm savings option.,step1 obtain the application form from taluka mamlatdars office. step2 fill out the form with accurate details and attach the required documents. step3 submit the form to the taluka mamlatdar. step4 the mamlatdar will verify the details and approve the assistance if all criteria are met.  helpdesk contact details.,"Remarriage Assistance, Widow, Women"
National Fellowship For OBC Students,ministry of education,individual,the eligibility conditions are as per notification for ugcnet and csirugcnet examinations. 1. the other backward class obc candidates qualifying for the award of nfobc will be eligible to receive a fellowship subject to finding placement in the universityiitsinstitutions. 1. the validity period of the offer is 3 years with effect from the date of issue of the jrf award letter. however in the case of candidates who have already joined mphil. ph.d. the date of commencement of fellowship shall be from the date of declaration of result of nfobc or date of their joining whichever is later. 1. students belonging to the other backward class obc category once considered eligible for the fellowship shall not be entitled to any other benefits from the central or state government or any other body like ugc offering similar benefits to avoid duplication and increase coverage. only those doing regular and fulltime m.phil. ph.d. course of a universityresearch institution shall be eligible for the fellowship. 1. after two years if the progress in the research work of the awardee is found satisfactory hisher tenure will be extended for a further period of three years as senior research fellow srf. the research work will be assessed as per the ugc norms. the total period of award of jrf and srf shall not exceed a period of 5 years. 1. at least 4 of the total seats should be reserved for students with disabilities while making a selection of candidates for the award of fellowships by the ugc. 1. employees of any universitycollegeeducational institutioncentralstateut government shall be excluded from availing the fellowship even if they are on study leave or extra ordinary leave eol to pursue m.phil.ph.d. selection procedure 1. the selection of students will be made on the basis of merit in each ugcnetjrf and csirnetjrf examination and will be made twice a year. 1. however preference will be given to such students who have secured admission. in case sufficient such candidates are not available candidates who have not secured admission will also be selected in the order of merit in the net examination. a separate merit list would be drawn up for such candidates if required. 1. the qualified candidates have to enroll in universitiesinstitutionscolleges recognized under  under sections 2 f of the ugc act 1956 i.e. universities established under central provincial or state acts or any other institution recognized by ugc.  grantinaid deemed universities under section 3 of the ugc act i.e. institutions for higher education notified by the central government to be deemed universities in consultation with ugc.  universitiesinstitutions funded by state central government.  institutions of national important as notified by the ministry of human resource development. mhrd.gov.ininstitutionsnationalimportance  the decision of the ugc regarding to awarding the fellowship shall be final and no appeal could be filed against it.,national fellowship for obc students was launched by the university grants commission ugc during the financial year 201415 to increase the opportunities for the students of other backward classes obcs to pursue higher education leading to acquiring degrees such as m.phil. and ph.d. number of slots for fellowship  1. the total number of slots for nfobc under the scheme is 1000 per year. out of 1000 slots available under this scheme 750 will be allocated for the subjects under national eligibility test junior research fellowship netjrf of ugc and the remaining 250 ugccouncil of scientific and industrial research ugccsir netjrf joint test for science streams. 1. these 1000 slots will be over and above the obc students selected under the normal reservation policy of the government. duration of fellowship  name of the course m.phil. maximum duration years 2 admissibility of jrf years 2 admissibility of srf years nil name of the course ph.d. maximum duration years 5 admissibility of jrf years 2 admissibility of srf years remaining 3 years name of the course m.phil.  ph.d. maximum duration years 5 admissibility of jrf years 2 admissibility of srf years remaining 3 years rate of fellowship  the rates of fellowship for jrf and srf will be at par with the ugc fellowship w.e.f 01.01.2019. presently these rates are as follows fellowship in science humanities and social science  31000 p.m. for initial two years jrf  35000 pm. for remaining tenure srf fellowship in engineering  technology  31000 p.m. for initial two years jrf  35000 pm. for remaining tenure srf contingency for humanities  social sciences  10000 p.a. for initial two years  20500 p.a. for remaining tenure contingency for sciences engineering  technology  12000 p.a. for initial two years  25000 p.a. for remaining tenure escortsreader assistance all subjects  2000 p.m. in cases of physically and visually handicapped candidates house rent allowance hra will be on the ugc pattern and will be payable to those students who are not provided with hostel accommodation. in case hostel accommodation offered by the universityinstitution is refused the student will forfeit his claim of hra and other facilities such as medical facilities and leave including maternity leave will be governed as per the guidelines of the ugc in case of their fellowship program.,procedure for applying for the scheme applications are invited online once a year through advertisements in leading newspapers and employment news. the same is also uploaded on the ugc website. the selection is made based on merit and as per the procedure of the commission.  go to the  of ugc.  on the homepage locate the esarts scholarshipsfellowships link. normally placed on the right side of the homepage  a new page will open wherein the candidate has to select national fellowship for obc candidate  click on the  option which is available at the top of the page.  fill out all the required information with personal and academic details.  attach all the required documents in the prescribed format.  lastly click on submit to submit the form successfully. _in order to get your application considered submit it before the deadline._,"Fellowship, OBC"
Indira Gandhi National Disability Pension Scheme,ministry of rural development,individual,the eligibility criteria for a disabled person to avail of the benefits are as follows.  the age of the applicant should be 18 years and above.  the applicant should be a resident of india.  the applicant should be a physically or mentally disabled person.  the applicants disability should be more than 80.  dwarfs are also eligible for this scheme.  the applicant should belong to the below poverty line.,a noncontributory pension scheme to provide social security to divyangjans aged 18 and above who belong to a poor family bpl in society.  a pension of rs.300 per month is provided to divyangjan between 1879 years.  a pension of rs.500 per month will be provided to divyangjan aged 80 years and above., one can download umang app or visit website   the citizen can  using mobile number and otp.  once logged in citizen can search for nsap.  click on apply online  fill the basic details choose the mode of payment of pension upload photo and click on submit.,"Below Poverty Line - BPL, Differently Abled, Pension"
Assistance to General Farmers for Sinking Tubewell,agriculture department puducherry,individual, the applicant must obtain the necessary permit to sink a newreplacement tubewellfilter point from pondicherry ground water authority puducherry.  the tubewellfilter point should have been constructed through a departmental power righand bore set or should have been constructed with a no objection certificate of the agriculture department for engaging private drilling machinery ed with pondicherry ground water authority under departmental supervision.  the applicant should hold a minimum of 1.5 acres of land under the command area of the tubewellfilter point to be constructed.  the applicant should have ownership of the land for at least 2 years and a clear ownership title deed in hisher name. the eligible land holding of 1.5 acres should be in favour of the applicant farmer spouse or a member of the jointundivided family.  farmers who have already availed themselves of the subsidy for the same purpose within 5 years are not entitled to any benefit under this scheme.  the casing pipes should have a bis certificate and should have been purchased from an authorized dealer ms.pasic ltd.  the applicant should not convert the lands for a minimum period of 10 years from the date of construction of the tubewellfilter point to any purpose other than agriculture and should execute a bond accordingly.,assistance to general farmers for sinking tubewell was launched by the dept of agriculture and farmers welfare ut of puducherry. through this scheme the farmers from the general category are provided with a grant of 65 subsidy towards the construction of tubewellfilter point per individual.  65 subsidy towards construction of tubewellfilter point in the union territory of puducherry subject to a maximum of 150000 per tubewellfilter point per individual. the total cost incurred towards the construction of the tubewell shall be taken into account for the calculation of the subsidy., the applicant must obtain the mandatory permit for the construction of a new  replacement tubewell from the pondicherry ground water authority puducherry.  the applicant of the puducherry region should approach the concerned office towards the construction of the tubewell by deploying departmental machinery. the applicants who want to construct the tubewell through private machinery should approach the concerned office to get noc.  after obtaining noc the farmer has to construct a tubewell by deploying private machinery which is ed with pondicherry ground water authority puducherry. inspection will be conducted by the agricultural officer engg. concerned at the time of the construction of the tubewell to ascertain the details of pipes and other materials used.  after successful completion of the tubewellfilter point construction work under departmental supervision the interested applicant should visit during office hours the concerned office and request the hard copy of the prescribed format of the application form from the concerned authority  puducherry office of the hydrogeologistii state ground water unit  soil conservation thattanchavady puducherry9. karaikal office of the additional director of agriculture karaikal.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form and the documents to the aforementioned authority.  on receipt of the application necessary entries will be made in the application receipt  and a unique seniority number will be assigned to the applicant for identifying each applicant which shall be used for all further references and also as acknowledgement for the receipt of the application will be issued to the applicant. the application should be submitted within 90 days from the date of completion of the tubewellfilter point construction work.,"Agriculture, Farmer, Subsidy, Tubewell"
Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Management,industries and mines department,business entity industries,1. the industryunit must be ed under relevant industrial laws in gujarat. 1. the industryunit must comply with existing environmental regulations and standards. 1. the industryunit must be engaged in manufacturing or production activities. 1. the industryunit must undertake projects focused on environmental protection measures.,the scheme of assistance for environment protection measures under the gujarat industrial policy promotes sustainable industrial growth by supporting industries in adopting ecofriendly practices and ensuring compliance with environmental norms effective from august 7th 2020 to august 6th 2025. eligible activityquantum of assistance per project 1. implementation of cleaner production technology in place of existing processes such as substitution and optimization of raw materials reduction water consumption or energy consumption or waste generation1. upto 35 of the cost of plant and machinery with a ceiling of 3500000 during the operative period of the scheme for msme. 2. upto 10 of the cost of plant and machinery with a ceiling of 3500000 during the operative period of the scheme for large projects.2. any other environment management project with the use of clean efficient and innovative pollution control equipment1. upto 25 of the cost of plant and machinery with a ceiling of 3500000 during the operative period of the scheme for msme. 2. upto 10 of the cost of plant and machinery with a ceiling of 3500000 during the operative period of the scheme for large projects. sanctioning authority assistance under the scheme will be sanctioned by state level empowered committee and assistance will be disbursed by industries commissionerate.,step1 the applicant enterprise has to fill out the prescribed application form. step2 attach all relevant documents as required under the scheme guidelines. step3 submit the completed application form and documents to the industries commissionerate or the concerned district industries centre. step4 ensure that the application is submitted within six months from the date of completion of the activity or project.,"Business, Energy Conservation, Entrepreneurship, Environmental Compliance, Environmental Management"
Scheme for Financial Assistance to Integrated Logistics Facilities: Capital Subsidy,industries and mines department,business entity,1. only new units or projects are eligible for this subsidy. 1. the subsidy applies to costs related to construction and infrastructure excluding land cost. 1. the project must adhere to sor norms of the government or its undertaking. 1. the claim must be submitted in a phasewise manner corresponding to actual expenditures. 1. developers must obtain all applicable environmental and statutory clearances. 1. basic facilities such as toilets and rest areas for transport vehicle drivers must be provided. 1. the developer must operate and maintain the logistics facilities for a minimum of five years. br  . if land is leased or rented a ed leaserental deed for a minimum of 10 years between the developer and landowner is mandatory. 1. warehouse facilities must not be used for captive purposes by the developer otherwise they will be ineligible for assistance. 1. logistics facilities cannot be sold or transferred to another entity for at least five years from the date of the sanction letter or the project39s commissioning whichever is later. facilities must be leased or rented to remain eligible for assistance.,the scheme for financial assistance to integrated logistics facilities under the gujarat integrated logistics and logistics park policy provides financial support to private developers for creating logistics facilities and parks with the necessary infrastructure and services.  phasewise disbursement assistance is disbursed in four installments 25 50 75 and 100 of the sanctioned project cost excluding land costs.  final adjustment on project completion 15 of eligible assistance is withheld and disbursed only after the project is completed., registration process step1 visit the investor facilitation portal ifp portal. click on new investor registration to access the registration form. step2 fill in the registration form. click on submit. step3 verify the email id using the link sent on your ed email id. step4 after verification you will be ed successfully.  postregistration process step1 visit the investor facilitation portal ifp portal. click on . step2 enter the email address and password you used during registration. step3 click the  button to access your account. step4 now fill in the required details and mandatory documents about your business to complete the application process.  helpdesk contact here.,"Business, Capital Subsidy, Logistics Facilities"
Salt Distribution Scheme Jharkhand,food public distribution and consumer affairs department,individual,1. the applicant must be a resident of jharkhand. 1. the applicant must hold an antyodaya anna yojana aay card a priority household phh card under the national food security act 2013 or a green card under the jharkhand state food security scheme. 1. preference is given to economically disadvantaged households.,the salt distribution scheme by the department of food public distribution and consumer affairs government of jharkhand ensures subsidized salt is provided to aay phh and green cardholders promoting accessibility and affordability.  subsidized salt is provided at 1 per kilogram. . benefits extended to aay and phh cardholders under nfsa and green cardholders under jsfss. 1. distributed monthly through designated fair price shops.,1. visit the nearest ration shop or designated enrollment center with the required documents. 1. if aadhaar is not available apply for aadhaar enrollment at an authorized center. 1. submit the aadhaar number or aadhaar enrolment identification slip during registration. 1. verify the eligibility and documents with the designated officer. 1. collect the salt from the distribution center as per the monthly schedule.,"JSFSS, NFSA, Salt, Subsidized Rate"
Training on Artificial Insemination for Self-Employment,animal husbandry department,individual,1. the applicant should be an unemployed youth. 1. the applicant should be at least 18 years old. 1. the applicant should have passed the 10th standard. 1. the applicant should have a keen interest in dairy farming and artificial insemination.,the training on artificial insemination for selfemployment by the animal husbandry department madhya pradesh promotes milk production and employment. trained gausevaks get an honorarium of 4000 and equipment worth 18000.  financial support trained gausevaks receive an honorarium of 4000 and equipment worth 18000. skill development provides three months of free training in artificial insemination including theory and practical sessions.,for initial training the applicant from each gram panchayat will be selected on the approval of janpad panchayat. applicants with queries or documentation requirements should reach out to the office of the deputy director veterinary services governmentrecognized artificial insemination training institutes the panchayat offices in their respective areas.,"Animal Husbandry, Employment, Training, Unemployed"
Maanki Munda Scholarship for Female Students,higher and techical education department,individual,1. the applicant should be a resident of jharkhand state. 1. the applicant should be a female student. 1. the student should be enrolled in b.tech. programme at bit sindri in 2nd 3rd and 4th year. 1. the student already availingapplied for any other scholarship from any other source viz state govt. or central govt. cannot apply for this scholarship. 1. the student should have obtained a minimum of 50 marks in the previous year without any back paper. 1. the students annual family income from all sources should not exceed 800000. 1. the student must have passed the 10th and 12th examinations from schools based in jharkhand state. for lateral entry the student must have passed their class 10th and diploma or equivalent courses from schoolsinstitutes based in jharkhand state.,the maanki munda scholarship for female students scheme was launched by the department of higher  technical education govt. of jharkhand. this scholarship program aims to make the girl students aware of enrollment in technical education making them selfreliant  providing financial assistance.  15000 per year for female students enrolled in diploma courses.  30000 per year for female students enrolled in b.techb.e. courses.,_applications must be submitted online via the_ _official portal__._  the student needs to fill out the google form and submit a handwritten application along with necessary documents to the academic section.  submit a handwritten application to the academic section forwarded by the hod.  submit two sets of the printed google form and selfattested documents in the academic section.,"Financial Assistance, Girl Student, Technical"
Chief Ministers House Rent ,department of denotified nomadic and seminomadic welfare department,individual,1. the applicant should be regularly admitted to colleges or equivalent institutions and not in any government hostel. 1. the applicant should be admitted before the last date and submit appendixb. 1. the applicant should be within the income limit of the post metric scholarship scheme. 1. the applicant should be responsible for any excess rent beyond the prescribed allowance. 1. the applicant should be ineligible for the scheme if they fail in any year. 1. the applicant should be aware of the thirdparty evaluation and annual review of the scheme.,the chief ministers house rent scheme by the department of denotified nomadic and seminomadic welfare government of madhya pradesh provides 1000 to 2000 per student per month in bhopal indore jabalpur gwalior and ujjain.  2000 per student in bhopal indore jabalpur gwalior and ujjain.  1250 at district headquarters.  1000 in tehsildevelopment block headquarters and other cities.  helps students with housing expenses., registration  visit the samarth portal.  navigate to the top right corner of the homepage and click registration.  on the registration page provide the mandatory details. the fields marked with  are mandatory. if required verify your mobile number andor email id via otp. finally click .  application  visit the samarth portal.  use the credentials you created during registration to log in.  navigate to the online application form of the scheme you intend to apply for.  in the application form fill in all the mandatory fields and upload all the mandatory documents in the specified format and size.  carefully review all the information provided. make any necessary corrections.  acknowledge and agree to the terms and conditions declaration and privacy policy if any.  click the submit to submit your application.,"College, Housing, Rent, Student"
Merit?cum?Means Scholarships For Under Graduate Studies In Various Branches Of Agriculture And Animal Science Subjects,ministry of agriculture and farmers welfare,individual,1. the applicant should have domiciled in india. 1. the applicant should be a student who meets the means test condition as defined in the scheme guidelines. 1. the applicant should have secured at least 60 marks or equivalent grade points in the qualifying examination. 1. the applicant should be considered on interse merit in case of a tie with preference given to those with higher marks in science subjects. 1. the applicant should pursue undergraduate studies in agriculture agricultural engineering home science dairy or animal husbandry. means test 1. the applicant should be from a family whose parents annual income does not exceed 100000 to be eligible for the scholarship. 1. the applicant should  that there is no provision for a half scholarship under this scheme. 1. the applicant should be aware that if their parents income exceeds 100000 per annum they will not be eligible for the scholarship but may receive a national prize of 500 and a certificate of merit.,the scheme of meritcummeans scholarships for under graduate studies in various branches of agriculture and animal science subjects was introduced by icar with a view to attracting meritorious undergraduate students to prosecute their studies up to graduation level. the value of the scholarships for undergraduate studies in agriculture including agricultural engineering  home science and animal science subjects will be 1000 per month per student. the scholarship will be tenable for the full duration of the degree course in the concerned subject., the interested applicant should visit during office hours the universitycollege and request the hard copy of the prescribed format of the application form from the concerned authority.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents within the prescribed period if any to the authority.  request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.  ensure that the application is submitted within the prescribed period if any. proforma for submission of demand ,"Agriculture, Financial, Scholarship, Student"
